id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43751068,"Comfort Home Toronto
Queen bed room1",333078272,Anping,,Dorset Park,43.75336,-79.28535,Private room,90,1,1,2020-08-30,0.28,4,90
43751190,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.66923,-79.37547,Private room,99,1,2,2020-10-07,0.47,10,365
43751252,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.66954,-79.37675,Private room,99,1,7,2020-11-01,1.49,10,364
43751289,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.67073,-79.37651,Private room,99,1,7,2020-11-23,1.30,10,364
43751335,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.66928,-79.37519,Private room,99,1,2,2020-09-06,0.33,10,365
43751374,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.6711,-79.37506,Private room,99,1,0,,,10,1
43751402,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.66892,-79.37694,Private room,99,1,2,2020-09-06,0.53,10,365
43751427,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.6704,-79.37652,Private room,99,1,5,2020-09-05,0.82,10,365
43751452,Small boutique historical hotel - downtown Toronto,103169419,Trisha,,North St.James Town,43.66895,-79.37512,Private room,99,1,0,,,10,365
43758436,Kid-Approved Adventure Play & Slide House,48896396,Dahnalda & Brad,,East End-Danforth,43.68369,-79.28691,Entire home/apt,400,5,8,2020-11-30,1.63,1,157
43761370,Gorgeous Condo across CN Tower,4356799,T.,,Waterfront Communities-The Island,43.64484,-79.3884,Entire home/apt,145,1,8,2020-09-30,2.31,17,139
43763176,Cozy House in Midtown Toronto,21296463,Jenny,,Lawrence Park North,43.73152,-79.39529,Private room,49,5,0,,,5,0
43766054,Brand New Two-Level Trinity Bellwoods Coach House,8739610,Nathan,,Trinity-Bellwoods,43.65123,-79.4186,Entire home/apt,200,28,1,2020-11-01,0.70,2,141
43767999,Just a bedroom (with kitchen access),142682,Sean,,Old East York,43.69727,-79.329,Private room,37,1,3,2020-12-06,0.63,2,65
43779059,Basement Bachelor Apartment with separate entry .,261242299,Rona,,New Toronto,43.59942,-79.51859,Private room,59,7,0,,,2,346
43779105,"Toronto Modern Condo fit 4,多倫多北约克市豪华公寓,可住4人",123815673,Edmond,,Henry Farm,43.77422,-79.32881,Entire home/apt,98,28,1,2020-09-05,0.30,3,179
43779160,"Cozy, Clean, Private Bedroom near Yorkdale Mall",102404828,Liz,,Caledonia-Fairbank,43.69404,-79.45414,Private room,35,1,0,,,3,90
43779461,Bright Clean Bedroom near Yorkdale Mall,102404828,Liz,,Caledonia-Fairbank,43.69465,-79.45226,Private room,50,1,0,,,3,90
43780517,Tulip Cozy Private Bedroom at Scarborough,64829538,Mohammed,,Scarborough Village,43.74535,-79.21684,Private room,40,3,3,2020-09-24,0.68,3,130
43785435,North York; Freshly Renovated Bsmt Studio Apt,83612656,Jeniffer,,Pelmo Park-Humberlea,43.71832,-79.53007,Entire home/apt,70,2,10,2020-12-06,2.08,1,291
43786442,Comfortable suit,147821969,Milena,,Waterfront Communities-The Island,43.6438,-79.38148,Entire home/apt,125,2,0,,,2,365
43787557,Complete Downtown Suite,68395649,Laura,,Church-Yonge Corridor,43.67059,-79.38061,Entire home/apt,222,183,0,,,1,227
43787778,Gorgeous studio room with backyard near subway,349688511,Rishi,,Dorset Park,43.74921,-79.27068,Private room,60,29,3,2020-11-28,0.66,1,0
43788852,Luxury Condo on Yonge Street,339842916,Olu,,Church-Yonge Corridor,43.65322,-79.37821,Entire home/apt,82,7,2,2020-08-29,0.34,19,365
43788917,Exec High Rise 1 Br in the Entertainment District,135718015,Ak,,Waterfront Communities-The Island,43.65022,-79.38904,Entire home/apt,200,7,0,,,38,167
